ping_index	ping_time	channel_id	channel_freq	Ranges	angle_alongship	angle_athwartship
23	27:20.1	WBT Tube 244668-15 ES120-7CD	120000	5.172534466	-2.840439558	-3.653872013
23	27:20.1	WBT Tube 244668-15 ES120-7CD	120000	6.624612331	-2.144594431	-3.016788006
23	27:20.1	WBT Tube 244668-15 ES120-7CD	120000	8.053142548	-1.52548933	-2.167261124
23	27:20.1	WBT Tube 244668-15 ES120-7CD	120000	9.426729202	2.194357157	1.824182272
23	27:20.1	WBT Tube 244668-15 ES120-7CD	120000	13.55533791	-0.308992296	-0.201210871
23	27:20.1	WBT Tube 244668-15 ES120-7CD	120000	18.0842495	-1.030993581	-6.253651142
23	27:20.1	WBT Tube 244668-15 ES120-7CD	120000	19.03398514	-0.356950909	3.705726147
23	27:20.1	WBT Tube 244668-15 ES120-7CD	120000	20.11715698	-1.527091742	3.998261929
23	27:20.1	WBT Tube 244667-15 ES200-7CD	200000	5.176459312	-1.744336367	-0.733157873
23	27:20.1	WBT Tube 244667-15 ES200-7CD	200000	6.597140312	-2.032138824	-0.394355118
23	27:20.1	WBT Tube 244673-15 ES333-7CD	333000	6.589290619	-1.092535496	-1.093761206
23	27:20.1	WBT Tube 244673-15 ES333-7CD	333000	7.331027985	-1.133792281	-1.053830981
23	27:20.1	WBT Tube 244673-15 ES333-7CD	333000	7.676386833	-1.140676856	-1.127220392
23	27:20.1	WBT Tube 244673-15 ES333-7CD	333000	9.434577942	2.413846493	3.088808537
23	27:20.1	WBT Tube 244673-15 ES333-7CD	333000	13.63775253	2.844948769	-0.24889107
23	27:20.1	WBT Tube 253689-7 ES38-18DK-Split	38000	6.640309334	-6.315004826	0.867206216
23	27:20.1	WBT Tube 253689-7 ES38-18DK-Split	38000	10.31367302	0.813990593	-12.93224049
23	27:20.1	WBT Tube 253689-7 ES38-18DK-Split	38000	14.78763962	-15.12095833	-1.180400133
23	27:20.1	WBT Tube 253689-7 ES38-18DK-Split	38000	17.18945503	-0.128069684	-16.98959923
23	27:20.1	WBT Tube 253689-7 ES38-18DK-Split	38000	19.07323074	-4.876209736	8.248807907
23	27:20.1	WBT Tube 253689-7 ES38-18DK-Split	38000	20.20349693	-6.589436531	12.22802353
23	27:20.1	WBT Tube 253689-7 ES38-18DK-Split	38000	22.51112175	9.48705864	7.428350925
23	27:20.1	WBT Tube 253689-7 ES38-18DK-Split	38000	23.92395401	9.227873802	2.274424791
23	27:20.1	WBT Tube 244670-15 ES70-7CD	70000	5.239251614	-2.326581717	0.397038579
23	27:20.1	WBT Tube 244670-15 ES70-7CD	70000	6.628536701	-2.117555857	0.268908262
23	27:20.1	WBT Tube 244670-15 ES70-7CD	70000	13.57495975	-0.91407311	2.953706741
23	27:20.1	WBT Tube 244670-15 ES70-7CD	70000	19.07323074	-1.541032314	5.071146488
23	27:20.1	WBT Tube 244670-15 ES70-7CD	70000	23.82976532	-6.526958942	-3.210626125
24	27:20.4	WBT Tube 244668-15 ES120-7CD	120000	6.593215942	-4.661263466	-2.876870871
24	27:20.4	WBT Tube 244668-15 ES120-7CD	120000	9.356087685	-0.835758567	1.688873887
24	27:20.4	WBT Tube 244668-15 ES120-7CD	120000	13.54748917	-0.832038164	-0.794363558
24	27:20.4	WBT Tube 244668-15 ES120-7CD	120000	16.58507729	0.336178422	1.644267559
24	27:20.4	WBT Tube 244668-15 ES120-7CD	120000	17.14236069	-0.340599507	2.568624973
24	27:20.4	WBT Tube 244668-15 ES120-7CD	120000	20.1407032	-2.647567749	4.380579948
24	27:20.4	WBT Tube 244667-15 ES200-7CD	200000	6.546121597	-4.15362215	-0.685557604
24	27:20.4	WBT Tube 244667-15 ES200-7CD	200000	13.5357151	-0.218150452	1.140561581
24	27:20.4	WBT Tube 244673-15 ES333-7CD	333000	6.534347534	-4.441718578	-1.140333414
24	27:20.4	WBT Tube 244673-15 ES333-7CD	333000	9.352162361	-0.487478942	3.312913895
24	27:20.4	WBT Tube 244673-15 ES333-7CD	333000	12.57420444	1.332183242	-0.176894695
24	27:20.4	WBT Tube 244673-15 ES333-7CD	333000	13.53179073	0.291207135	0.069638178
24	27:20.4	WBT Tube 253689-7 ES38-18DK-Split	38000	6.593214989	-11.44669914	1.244765639
24	27:20.4	WBT Tube 253689-7 ES38-18DK-Split	38000	10.26657867	-2.190549612	-13.62956238
24	27:20.4	WBT Tube 253689-7 ES38-18DK-Split	38000	13.13933659	-12.18346882	1.357164741
24	27:20.4	WBT Tube 253689-7 ES38-18DK-Split	38000	16.29466057	7.283995628	6.949063301
24	27:20.4	WBT Tube 253689-7 ES38-18DK-Split	38000	19.0261364	-6.136381149	8.232855797
24	27:20.4	WBT Tube 253689-7 ES38-18DK-Split	38000	20.10930824	-6.469886303	10.26392651
24	27:20.4	WBT Tube 253689-7 ES38-18DK-Split	38000	22.41693306	4.519865036	9.302735329
24	27:20.4	WBT Tube 253689-7 ES38-18DK-Split	38000	23.82976532	10.06583023	0.370301634
24	27:20.4	WBT Tube 244670-15 ES70-7CD	70000	6.581442356	-4.524782181	0.402114749
24	27:20.4	WBT Tube 244670-15 ES70-7CD	70000	7.982500553	-5.381906986	-0.235593081
24	27:20.4	WBT Tube 244670-15 ES70-7CD	70000	9.383558273	-1.064665675	4.804938793
24	27:20.4	WBT Tube 244670-15 ES70-7CD	70000	13.56318569	-0.960343242	1.45151484
24	27:20.4	WBT Tube 244670-15 ES70-7CD	70000	19.01436234	-3.120720148	5.080951691
24	27:20.4	WBT Tube 244670-15 ES70-7CD	70000	19.32047653	-0.95149374	-4.429740429
24	27:20.4	WBT Tube 244670-15 ES70-7CD	70000	19.74432564	-0.521451294	0.228051051
24	27:20.4	WBT Tube 244670-15 ES70-7CD	70000	20.14462852	-2.348409176	-6.769997597
25	27:20.7	WBT Tube 244668-15 ES120-7CD	120000	9.30899334	-3.299878836	1.415752053
25	27:20.7	WBT Tube 244668-15 ES120-7CD	120000	13.46114922	-0.773691952	-1.782484651
25	27:20.7	WBT Tube 244668-15 ES120-7CD	120000	18.93979645	-2.659800291	3.065555334
25	27:20.7	WBT Tube 244667-15 ES200-7CD	200000	24.96003151	4.085625172	2.904861689
25	27:20.7	WBT Tube 244673-15 ES333-7CD	333000	12.5467329	-0.64113909	-0.205096349
25	27:20.7	WBT Tube 244673-15 ES333-7CD	333000	13.44937515	-0.301198304	-0.206646338
25	27:20.7	WBT Tube 244673-15 ES333-7CD	333000	24.95610619	3.062696695	1.530752778
25	27:20.7	WBT Tube 253689-7 ES38-18DK-Split	38000	6.593214989	-16.33284378	-0.877736449
25	27:20.7	WBT Tube 253689-7 ES38-18DK-Split	38000	10.21948433	-4.560982227	-13.99444866
25	27:20.7	WBT Tube 253689-7 ES38-18DK-Split	38000	12.10326004	-6.24224329	-10.83336926
